index,model_name,metric,delta
0,bert,balanced_accuracy,-0.012179487179487247
1,bert,f1_false,-0.004906860517946421
2,bert,precision_false,-0.042613636363636354
3,bert,recall_false,0.02564102564102566
4,distilbert,balanced_accuracy,-0.00815850815850816
5,distilbert,f1_false,0.01602332996843403
6,distilbert,precision_false,-0.036520241171403955
7,distilbert,recall_false,0.2564102564102564
8,electra,balanced_accuracy,0.008275058275058367
9,electra,f1_false,0.01476973016839117
10,electra,precision_false,0.004168670835337451
11,electra,recall_false,0.02564102564102566
14,log,precision_false,-0.06666666666666665
15,log,recall_false,0.3205128205128205
12,log,balanced_accuracy,-0.021561771561771526
13,log,f1_false,0.018214936247723135
16,modernbert,balanced_accuracy,-0.013636363636363669
17,modernbert,f1_false,-0.014709979383741023
18,modernbert,precision_false,-0.04221298369043813
19,modernbert,recall_false,0.0
23,rf,recall_false,0.5641025641025641
22,rf,precision_false,-0.12925764192139738
20,rf,balanced_accuracy,-0.036130536130536184
21,rf,f1_false,0.11122586795900535
24,svc,balanced_accuracy,-0.21567599067599075
25,svc,f1_false,-0.13106712564543888
26,svc,precision_false,-0.19329432943294328
27,svc,recall_false,0.0641025641025641
30,xgb,precision_false,-0.14368382171878846
28,xgb,balanced_accuracy,-0.08117715617715615
29,xgb,f1_false,0.04285714285714287
31,xgb,recall_false,0.5512820512820513
